2,46E+12;AUTO POSTO 020;RODOVIA BR 020,SN;KM    30;DISTRITO DO BEZERRA;FORMOSA;GO;DIESEL S500;3,499;08/02/20 08:44;2020-04-21
2,46E+12;AUTO POSTO 020;RODOVIA BR 020,SN;KM    30;DISTRITO DO BEZERRA;FORMOSA;GO;DIESEL S10;3,589;08/02/20 08:44;2020-04-21
2,51E+12;POSTO HS;AVENIDA ADELINO AMERICO DE AZEVEDO,163;;CENTRO;PORANGATU;GO;GASOLINA C COMUM;4,99;19/02/20 09:47;2020-04-21
2,51E+12;POSTO HS;AVENIDA ADELINO AMERICO DE AZEVEDO,163;;CENTRO;PORANGATU;GO;ETANOL;3,69;07/02/20 14:03;2020-04-21
2,51E+12;POSTO HS;AVENIDA ADELINO AMERICO DE AZEVEDO,163;;CENTRO;PORANGATU;GO;DIESEL S500;3,99;07/02/20 14:04;2020-04-21
2,51E+12;POSTO HS;AVENIDA ADELINO AMERICO DE AZEVEDO,163;;CENTRO;PORANGATU;GO;DIESEL S10;4,09;07/02/20 14:04;2020-04-21
2,56E+12;AUTO POSTO ITAMARATY LEME LTDA;AVENIDA VISCONDE DE NOVA GRANADA,1.500;;VILA GROSSKLAUSS;LEME;SP;GASOLINA C COMUM;4,089;14/10/19 15:23;2020-04-21
2,56E+12;AUTO POSTO ITAMARATY LEME LTDA;AVENIDA VISCONDE DE NOVA GRANADA,1.500;;VILA GROSSKLAUSS;LEME;SP;ETANOL;2,599;14/10/19 15:23;2020-04-21
2,65E+12;AUTO POSTO NOVO CENTRO LTDA;RUA ASDRUBAL DO NASCIMENTO,175;177/183;CENTRO;SAO PAULO;SP;GASOLINA C COMUM;4,049;22/11/19 11:36;2020-04-21
2,65E+12;AUTO POSTO NOVO CENTRO LTDA;RUA ASDRUBAL DO NASCIMENTO,175;177/183;CENTRO;SAO PAULO;SP;ETANOL;2,799;22/11/19 11:36;2020-04-21
2,65E+12;AUTO POSTO NOVO CENTRO LTDA;RUA ASDRUBAL DO NASCIMENTO,175;177/183;CENTRO;SAO PAULO;SP;DIESEL S10;3,599;22/11/19 11:36;2020-04-21
2,74E+12;AUTO POSTO RIO BRANCO DE ANDRADAS LTDA;RUA CEL OLIVEIRA,786;;CENTRO;ANDRADAS;MG;GASOLINA C COMUM;4,859;02/12/19 13:46;2020-04-21
2,74E+12;AUTO POSTO RIO BRANCO DE ANDRADAS LTDA;RUA CEL OLIVEIRA,786;;CENTRO;ANDRADAS;MG;ETANOL;3,179;21/02/20 13:45;2020-04-21
